hospital,Категорія діагнозу,Діагноз,visit_month,Стать,age,counts
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-01,Жіноча,y18-39,11
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-02,Жіноча,y18-39,14
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-02,Жіноча,y65+,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-03,Жіноча,y18-39,18
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-03,Жіноча,y40-64,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-04,Жіноча,y18-39,25
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-05,Жіноча,y18-39,42
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-05,Жіноча,y40-64,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-06,Жіноча,y18-39,23
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-07,Жіноча,y18-39,38
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-08,Жіноча,y18-39,23
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-09,Жіноча,y18-39,39
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-09,Жіноча,y6-17,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-10,Жіноча,y18-39,27
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-10,Жіноча,y40-64,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-10,Чоловіча,y18-39,2
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-11,Жіноча,y18-39,26
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-11,Жіноча,y40-64,1
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-12,Жіноча,y18-39,24
1,"Вагітність, пологи, планування сім'ї",W78 Вагітність  ,2019-12,Жіноча,y40-64,3
1,Вухо,H70 Зовнішній отит  ,2019-01,Жіноча,y18-39,1
1,Вухо,H70 Зовнішній отит  ,2019-01,Жіноча,y6-17,1
1,Вухо,H70 Зовнішній отит  ,2019-01,Чоловіча,y18-39,1
1,Вухо,H70 Зовнішній отит  ,2019-01,Чоловіча,y6-17,1
1,Вухо,H70 Зовнішній отит  ,2019-02,Жіноча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-02,Жіноча,y6-17,4
1,Вухо,H70 Зовнішній отит  ,2019-02,Чоловіча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-02,Чоловіча,y6-17,4
1,Вухо,H70 Зовнішній отит  ,2019-03,Чоловіча,y6-17,3
1,Вухо,H70 Зовнішній отит  ,2019-04,Жіноча,y65+,2
1,Вухо,H70 Зовнішній отит  ,2019-04,Чоловіча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-04,Чоловіча,y65+,1
1,Вухо,H70 Зовнішній отит  ,2019-05,Жіноча,y40-64,2
1,Вухо,H70 Зовнішній отит  ,2019-05,Жіноча,y6-17,2
1,Вухо,H70 Зовнішній отит  ,2019-05,Жіноча,y65+,1
1,Вухо,H70 Зовнішній отит  ,2019-05,Чоловіча,y18-39,2
1,Вухо,H70 Зовнішній отит  ,2019-05,Чоловіча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-05,Чоловіча,y65+,3
1,Вухо,H70 Зовнішній отит  ,2019-06,Жіноча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-06,Жіноча,y18-39,3
1,Вухо,H70 Зовнішній отит  ,2019-06,Жіноча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-06,Чоловіча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-06,Чоловіча,y18-39,1
1,Вухо,H70 Зовнішній отит  ,2019-07,Жіноча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-07,Жіноча,y18-39,3
1,Вухо,H70 Зовнішній отит  ,2019-07,Жіноча,y40-64,2
1,Вухо,H70 Зовнішній отит  ,2019-07,Жіноча,y6-17,2
1,Вухо,H70 Зовнішній отит  ,2019-07,Жіноча,y65+,2
1,Вухо,H70 Зовнішній отит  ,2019-07,Чоловіча,y18-39,1
1,Вухо,H70 Зовнішній отит  ,2019-08,Жіноча,y0-5,2
1,Вухо,H70 Зовнішній отит  ,2019-08,Жіноча,y18-39,3
1,Вухо,H70 Зовнішній отит  ,2019-08,Жіноча,y6-17,2
1,Вухо,H70 Зовнішній отит  ,2019-08,Чоловіча,y18-39,2
1,Вухо,H70 Зовнішній отит  ,2019-08,Чоловіча,y40-64,7
1,Вухо,H70 Зовнішній отит  ,2019-09,Жіноча,y18-39,3
1,Вухо,H70 Зовнішній отит  ,2019-09,Жіноча,y65+,4
1,Вухо,H70 Зовнішній отит  ,2019-09,Чоловіча,y0-5,1
1,Вухо,H70 Зовнішній отит  ,2019-09,Чоловіча,y6-17,2
1,Вухо,H70 Зовнішній отит  ,2019-09,Чоловіча,y65+,2
1,Вухо,H70 Зовнішній отит  ,2019-10,Жіноча,y0-5,2
1,Вухо,H70 Зовнішній отит  ,2019-10,Жіноча,y18-39,1
1,Вухо,H70 Зовнішній отит  ,2019-10,Жіноча,y40-64,3
1,Вухо,H70 Зовнішній отит  ,2019-10,Жіноча,y6-17,2
1,Вухо,H70 Зовнішній отит  ,2019-10,Чоловіча,y0-5,3
1,Вухо,H70 Зовнішній отит  ,2019-10,Чоловіча,y18-39,2
1,Вухо,H70 Зовнішній отит  ,2019-10,Чоловіча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-11,Жіноча,y0-5,3
1,Вухо,H70 Зовнішній отит  ,2019-11,Жіноча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-11,Жіноча,y6-17,4
1,Вухо,H70 Зовнішній отит  ,2019-11,Жіноча,y65+,1
1,Вухо,H70 Зовнішній отит  ,2019-11,Чоловіча,y0-5,2
1,Вухо,H70 Зовнішній отит  ,2019-11,Чоловіча,y40-64,3
1,Вухо,H70 Зовнішній отит  ,2019-11,Чоловіча,y6-17,3
1,Вухо,H70 Зовнішній отит  ,2019-11,Чоловіча,y65+,1
1,Вухо,H70 Зовнішній отит  ,2019-12,Жіноча,y18-39,2
1,Вухо,H70 Зовнішній отит  ,2019-12,Жіноча,y40-64,3
1,Вухо,H70 Зовнішній отит  ,2019-12,Чоловіча,y0-5,2
1,Вухо,H70 Зовнішній отит  ,2019-12,Чоловіча,y40-64,1
1,Вухо,H70 Зовнішній отит  ,2019-12,Чоловіча,y6-17,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Жіноча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Жіноча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Жіноча,y6-17,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y40-64,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-02,Жіноча,y0-5,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-02,Жіноча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-02,Чоловіча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-02,Чоловіча,y65+,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Жіноча,y18-39,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Жіноча,y40-64,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Жіноча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Чоловіча,y18-39,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Чоловіча,y40-64,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-03,Чоловіча,y6-17,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Жіноча,y0-5,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Жіноча,y18-39,3
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Жіноча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Чоловіча,y18-39,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Чоловіча,y40-64,4
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Чоловіча,y6-17,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-04,Чоловіча,y65+,1
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-05,Жіноча,y18-39,2
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-05,Жіноча,y40-64,5
1,Вухо,H71 Гострий середній отит / мірингіт  ,2019-05,Чоловіча,y0-5,4
