hospital,Діагноз,visit_month,Стать,age,counts,counts_unique
2,R78 Гострий бронхіт / бронхіоліт  ,2019-01,Жіноча,,18,5.0
3,L81 Травма опорно-рухової системи БДУ ,2019-01,Чоловіча,y18-39,3,2.0
3,L81 Травма опорно-рухової системи БДУ ,2019-01,Жіноча,y40-64,8,4.0
1,L98 Набута деформація кінцівки ,2019-01,Чоловіча,y0-5,1,1.0
1,L98 Набута деформація кінцівки ,2019-01,Чоловіча,y18-39,1,1.0
3,L81 Травма опорно-рухової системи БДУ ,2019-01,Жіноча,y18-39,1,1.0
3,L76 Перелом: інші ,2019-01,Жіноча,y40-64,1,
5,R96 Астма  ,2019-01,Чоловіча,y6-17,2,2.0
5,R96 Астма  ,2019-01,Чоловіча,y40-64,2,1.0
3,L81 Травма опорно-рухової системи БДУ ,2019-01,Чоловіча,y6-17,1,1.0
5,R96 Астма  ,2019-01,Чоловіча,,1,
1,L99 Захворювання (L) інші ,2019-01,Жіноча,y18-39,4,3.0
1,L99 Захворювання (L) інші ,2019-01,Жіноча,y40-64,7,4.0
1,L99 Захворювання (L) інші ,2019-01,Жіноча,y65+,8,4.0
1,L99 Захворювання (L) інші ,2019-01,Чоловіча,,4,1.0
1,L99 Захворювання (L) інші ,2019-01,Чоловіча,y18-39,7,4.0
1,L99 Захворювання (L) інші ,2019-01,Чоловіча,y40-64,3,2.0
1,L99 Захворювання (L) інші ,2019-01,Чоловіча,y6-17,3,2.0
1,L99 Захворювання (L) інші ,2019-01,Чоловіча,y65+,1,1.0
1,L99 Захворювання (L) інші ,2019-01,Жіноча,,1,1.0
3,L74 Перелом: кисть/стопа ,2019-01,Чоловіча,y65+,1,1.0
3,L81 Травма опорно-рухової системи БДУ ,2019-01,Чоловіча,y65+,1,
3,L83 Шийний синдром ,2019-01,Жіноча,y40-64,6,2.0
3,L85 Набута деформація хребта ,2019-01,Чоловіча,y6-17,3,3.0
1,L94 Остеохондроз ,2019-01,Жіноча,,2,2.0
1,L94 Остеохондроз ,2019-01,Жіноча,y18-39,8,5.0
1,L94 Остеохондроз ,2019-01,Жіноча,y40-64,33,19.0
1,L94 Остеохондроз ,2019-01,Жіноча,y65+,15,14.0
1,L94 Остеохондроз ,2019-01,Чоловіча,,2,1.0
1,L94 Остеохондроз ,2019-01,Чоловіча,y18-39,6,4.0
1,L94 Остеохондроз ,2019-01,Чоловіча,y40-64,18,11.0
3,L83 Шийний синдром ,2019-01,Жіноча,y18-39,3,3.0
1,L94 Остеохондроз ,2019-01,Чоловіча,y65+,5,3.0
3,L84 Спинний синдром без іррадіації болю ,2019-01,Чоловіча,y18-39,2,2.0
3,L84 Спинний синдром без іррадіації болю ,2019-01,Жіноча,y65+,1,1.0
3,L84 Спинний синдром без іррадіації болю ,2019-01,Жіноча,y40-64,11,7.0
3,L84 Спинний синдром без іррадіації болю ,2019-01,Жіноча,y18-39,4,4.0
5,F92 Катаракта  ,2019-01,Чоловіча,y65+,2,2.0
3,L83 Шийний синдром ,2019-01,Чоловіча,y40-64,5,2.0
3,L83 Шийний синдром ,2019-01,Жіноча,y65+,2,1.0
3,L83 Шийний синдром ,2019-01,Жіноча,y6-17,1,1.0
3,L84 Спинний синдром без іррадіації болю ,2019-01,Чоловіча,y40-64,9,6.0
3,L86 Спинний синдром з іррадіацією болю ,2019-01,Жіноча,y18-39,9,4.0
3,L74 Перелом: кисть/стопа ,2019-01,Жіноча,y6-17,3,1.0
3,L74 Перелом: кисть/стопа ,2019-01,Жіноча,y18-39,1,
3,K87 Гіпертонія з ускладненням  ,2019-01,Чоловіча,y65+,18,9.0
3,K87 Гіпертонія з ускладненням  ,2019-01,Чоловіча,y40-64,14,4.0
3,K87 Гіпертонія з ускладненням  ,2019-01,Жіноча,y65+,27,14.0
3,K87 Гіпертонія з ускладненням  ,2019-01,Жіноча,y40-64,17,8.0
5,H99 Захворювання вуха інші  ,2019-01,Чоловіча,y40-64,1,1.0
5,H99 Захворювання вуха інші  ,2019-01,Чоловіча,y6-17,1,1.0
1,N88 Епілепсія ,2019-01,Жіноча,y6-17,1,1.0
1,N88 Епілепсія ,2019-01,Чоловіча,y40-64,3,3.0
1,N87 Паркінсонізм ,2019-01,Чоловіча,y65+,2,1.0
3,K86 Гіпертонія неускладнена  ,2019-01,Чоловіча,y65+,16,11.0
3,K86 Гіпертонія неускладнена  ,2019-01,Чоловіча,y18-39,11,4.0
3,K86 Гіпертонія неускладнена  ,2019-01,Жіноча,y40-64,35,14.0
3,K86 Гіпертонія неускладнена  ,2019-01,Жіноча,y18-39,3,1.0
5,R95 ХОЗЛ  ,2019-01,Чоловіча,y65+,1,1.0
5,R95 ХОЗЛ  ,2019-01,Жіноча,y65+,2,1.0
1,N95 Головний біль напруги ,2019-01,Жіноча,y18-39,1,1.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Чоловіча,y65+,14,9.0
3,K85 Підвищений артеріальний тиск  ,2019-01,Чоловіча,y40-64,11,5.0
3,K86 Гіпертонія неускладнена  ,2019-01,Чоловіча,y40-64,23,13.0
3,L74 Перелом: кисть/стопа ,2019-01,Жіноча,y40-64,4,
1,N87 Паркінсонізм ,2019-01,Жіноча,y65+,2,2.0
3,K90 Інсульт / порушення мозкового кровообігу ,2019-01,Жіноча,y65+,5,1.0
5,H70 Зовнішній отит  ,2019-01,Чоловіча,y40-64,2,2.0
3,K99 Захворювання (К) інші ,2019-01,Жіноча,y6-17,1,
5,H71 Гострий середній отит / мірингіт  ,2019-01,Чоловіча,y0-5,1,
3,K92 Атеросклероз / захворювання периф. судин  ,2019-01,Чоловіча,y65+,3,2.0
3,K92 Атеросклероз / захворювання периф. судин  ,2019-01,Жіноча,y65+,6,6.0
5,R96 Астма  ,2019-01,Жіноча,y65+,1,1.0
5,R96 Астма  ,2019-01,Жіноча,y6-17,1,1.0
5,R96 Астма  ,2019-01,Жіноча,y40-64,2,1.0
3,K90 Інсульт / порушення мозкового кровообігу ,2019-01,Жіноча,y40-64,3,
3,K91 Захворювання судин мозку ,2019-01,Чоловіча,y65+,6,3.0
3,K91 Захворювання судин мозку ,2019-01,Чоловіча,y0-5,1,1.0
3,K91 Захворювання судин мозку ,2019-01,Жіноча,y65+,6,3.0
3,K91 Захворювання судин мозку ,2019-01,Жіноча,y6-17,1,1.0
3,K91 Захворювання судин мозку ,2019-01,Жіноча,y40-64,3,1.0
1,N01 Головний біль ,2019-01,Жіноча,y40-64,2,2.0
1,N01 Головний біль ,2019-01,Жіноча,y6-17,2,2.0
1,N01 Головний біль ,2019-01,Чоловіча,y6-17,2,1.0
