ПІБ лікаря,person_gender,person_age,n_visits
Єгорова Лариса Федорівна,жіноча,y18-39,442
Єгорова Лариса Федорівна,жіноча,y40-64,989
Єгорова Лариса Федорівна,жіноча,y65+,817
Єгорова Лариса Федорівна,чоловіча,y18-39,414
Єгорова Лариса Федорівна,чоловіча,y40-64,530
Єгорова Лариса Федорівна,чоловіча,y65+,389
Іванова Інна Володимірівна,жіноча,y0-5,1279
Іванова Інна Володимірівна,жіноча,y6-17,1460
Іванова Інна Володимірівна,чоловіча,y0-5,1380
Іванова Інна Володимірівна,чоловіча,y6-17,1454
Іванова Інна Володимірівна,чоловіча,y18-39,11
Іванова Валентина Георгіївна,жіноча,y0-5,1242
Іванова Валентина Георгіївна,жіноча,y6-17,2088
Іванова Валентина Георгіївна,жіноча,y18-39,4
Іванова Валентина Георгіївна,чоловіча,y0-5,1381
Іванова Валентина Георгіївна,чоловіча,y6-17,2202
Іванова Валентина Георгіївна,чоловіча,y18-39,5
Іванова Валентина Георгіївна,чоловіча,y40-64,1
Іванчук Інна Олексіївна,жіноча,y6-17,8
Іванчук Інна Олексіївна,жіноча,y18-39,407
Іванчук Інна Олексіївна,жіноча,y40-64,1098
Іванчук Інна Олексіївна,жіноча,y65+,1011
Іванчук Інна Олексіївна,чоловіча,y6-17,3
Іванчук Інна Олексіївна,чоловіча,y18-39,629
Іванчук Інна Олексіївна,чоловіча,y40-64,783
Іванчук Інна Олексіївна,чоловіча,y65+,393
Іванілова Інна Володимирівна,жіноча,y18-39,131
Іванілова Інна Володимирівна,жіноча,y40-64,380
Іванілова Інна Володимирівна,жіноча,y65+,669
Іванілова Інна Володимирівна,чоловіча,y18-39,110
Іванілова Інна Володимирівна,чоловіча,y40-64,249
Іванілова Інна Володимирівна,чоловіча,y65+,274
Іващенко Л.М.,жіноча,y0-5,1241
Іващенко Л.М.,жіноча,y6-17,1519
Іващенко Л.М.,жіноча,y18-39,2
Іващенко Л.М.,чоловіча,y0-5,1414
Іващенко Л.М.,чоловіча,y6-17,1954
Іващенко Л.М.,чоловіча,y18-39,3
Іващенко Любов Миколаївна,жіноча,y6-17,1
Іващенко Любов Миколаївна,жіноча,y18-39,163
Іващенко Любов Миколаївна,жіноча,y40-64,599
Іващенко Любов Миколаївна,жіноча,y65+,831
Іващенко Любов Миколаївна,чоловіча,y0-5,2
Іващенко Любов Миколаївна,чоловіча,y18-39,137
Іващенко Любов Миколаївна,чоловіча,y40-64,341
Іващенко Любов Миколаївна,чоловіча,y65+,352
Ішков Віктор Володимирович,жіноча,y0-5,307
Ішков Віктор Володимирович,жіноча,y6-17,923
Ішков Віктор Володимирович,жіноча,y18-39,18
Ішков Віктор Володимирович,жіноча,y40-64,1
Ішков Віктор Володимирович,жіноча,y65+,1
Ішков Віктор Володимирович,чоловіча,y0-5,378
Ішков Віктор Володимирович,чоловіча,y6-17,1290
Ішков Віктор Володимирович,чоловіча,y18-39,22
Ішков Віктор Володимирович,чоловіча,y40-64,6
Ішков Віктор Володимирович,чоловіча,y65+,2
Аболимова Валентина Федорівна,жіноча,y0-5,1066
Аболимова Валентина Федорівна,жіноча,y6-17,1140
Аболимова Валентина Федорівна,жіноча,y18-39,2
Аболимова Валентина Федорівна,жіноча,y40-64,2
Аболимова Валентина Федорівна,жіноча,y65+,1
Аболимова Валентина Федорівна,чоловіча,y0-5,971
Аболимова Валентина Федорівна,чоловіча,y6-17,982
